Area(SQM),Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Furnished,Bedroom,Bathroom,Location,Type,Level,Compound,Delivery_Date,Delivery_Term
125.0,2200000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Shatby,Apartment,10,Nakheel,Ready,Finished
120.0,500000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,Sidi Beshr,Apartment,3,Nakheel,Ready,Finished
165.0,1500000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Sidi Beshr,Apartment,3,Nakheel,Ready,Finished
155.0,1650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Cleopatra,Apartment,3,Nakheel,Ready,Finished
210.0,2950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Smoha,Apartment,6,Nakheel,Ready,Finished
80.0,550000.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Miami,Apartment,10+,Nakheel,soon,Finished
150.0,1100000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2,Al Hadrah,Apartment,1,Nakheel,Ready,Finished
160.0,2000080.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Glim,Apartment,4,Nakheel,Ready,Finished
123.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Smoha,Apartment,1,Nakheel,2023,Finished
65.0,400000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Sidi Beshr,Apartment,6,Nakheel,Ready,Finished
135.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Smoha,Apartment,6,Murooj,2025,Finished
115.0,2050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Smoha,Apartment,5,Murooj,2025,Finished
260.0,1500000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,Smoha,Apartment,6,Nakheel,2023,Finished
120.0,340000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Nakheel,Apartment,3,Nakheel,Ready,Finished
110.0,290000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,Nakheel,Apartment,2,Nakheel,Ready,Finished
235.0,7596000.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4,3,San Stefano,Duplex,10+,Nakheel,2023,Semi Finished
